Date,Product,Units Sold,Revenue,Cost,Region,Transportation Cost,Salesperson,Source File
2021-01-01,Orange Cylinder,563,723126.2,440743.5,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,537,369343.95,226399.48,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,277,278165.99,176090.66,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,451,575439.34,369547.39,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,431,548089.83,375315.04,Chennai,3500,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,531,362615.01,207976.87,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,424,433203.94,301690.76,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,306,191401.76,123015.95,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,412,346280.33,237932.56,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Orange Cylinder,167,163183.63,108048.87,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,White Cylinder,583,552539.0,309425.5,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Silver Cylinder,272,393777.19,267801.87,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Orange Cylinder,481,464463.09,261921.34,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,White Cylinder,554,585786.73,377802.22,Chennai,3500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-01,Silver Cylinder,155,132153.37,80157.39,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Orange Cylinder,306,408427.25,283242.04,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,White Cylinder,490,462790.22,277960.05,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-05-31,Silver Cylinder,413,266663.43,154852.47,Hosur,2000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Orange Cylinder,264,255712.84,148494.51,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,White Cylinder,306,238990.22,134657.24,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-06-30,Silver Cylinder,302,194393.89,122241.24,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Orange Cylinder,307,424570.11,243260.14,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,White Cylinder,203,268817.92,176328.4,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-07-30,Silver Cylinder,215,130923.69,80657.78,Faridabad,7000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Orange Cylinder,430,244548.12,138012.31,Bangalore,1000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,White Cylinder,351,182037.56,105881.69,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-08-29,Silver Cylinder,434,250944.0,164155.55,Pune,4500,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Orange Cylinder,504,652728.65,395641.43,Bangalore,1000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,White Cylinder,361,441619.62,266982.44,Faridabad,7000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-09-28,Silver Cylinder,233,160521.1,94393.96,Chennai,3500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Orange Cylinder,569,842976.72,469924.1,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,White Cylinder,380,415950.67,279266.84,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-10-28,Silver Cylinder,388,342779.47,218151.93,Faridabad,7000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Orange Cylinder,384,343723.69,229552.14,Hosur,2000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,White Cylinder,265,304145.92,190133.66,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-11-27,Silver Cylinder,414,605601.6,348865.33,Hosur,2000,Ritu,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Orange Cylinder,476,525017.78,361681.3,Pune,4500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,White Cylinder,462,458236.84,289096.58,Pune,4500,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-01,Silver Cylinder,189,97646.86,59439.52,Bangalore,1000,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Orange Cylinder,250,314304.81,217714.12,Bangalore,1000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,White Cylinder,597,546267.6,365419.27,Chennai,3500,Mohit,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-01-31,Silver Cylinder,501,737830.1,444018.77,Bangalore,1000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Orange Cylinder,570,313496.53,175733.88,Faridabad,7000,Tarun,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,White Cylinder,443,529759.85,305307.36,Faridabad,7000,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-03-02,Silver Cylinder,554,466154.06,266462.49,Pune,4500,Deepa,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
2021-04-01,Orange Cylinder,294,313420.37,190544.24,Hosur,2000,Faizan,SmartSalesAI_2021_AlGasCylinders_200rows_FIXED.csv
